,拠点,気圧(hPa),最高気温(℃),最低気温(℃),湿度(%),降水量(mm)
0,静岡,1018.4,18.6,6.9,30,
1,浜松,1019.8,17.1,5.6,35,
2,御前崎,1019.3,16.3,9.3,40,
3,三島,1019.0,17.0,5.7,42,
4,石廊崎,1019.2,16.9,9.5,45,
5,網代,1019.7,13.6,8.6,54,0.0
6,富士山,,-11.1,-15.4,10,
7,名古屋,1020.8,15.3,3.5,36,
8,伊良湖,1020.4,15.5,6.2,38,
9,岐阜,1020.7,15.5,2.5,36,
10,高山,1018.5,12.6,-3.0,39,
11,津,1020.8,13.9,4.6,51,
12,尾鷲,1019.6,18.5,6.2,45,
13,四日市,1020.6,15.3,1.7,44,
14,上野,1020.8,15.7,1.5,38,
15,新潟,1019.4,14.1,3.8,46,0.0
16,高田,1019.3,14.2,1.6,37,
17,相川,1018.4,14.3,6.4,48,0.5
18,富山,1019.2,15.9,3.8,34,
19,伏木,1019.1,16.0,3.9,39,
20,金沢,1019.1,16.3,5.2,31,
21,輪島,1018.3,15.0,4.1,45,0.5
22,福井,1020.2,16.2,4.3,41,
23,敦賀,1020.8,15.6,4.3,47,
24,彦根,1021.0,14.5,2.8,53,
25,京都,1021.0,15.1,3.8,45,
26,舞鶴,1020.5,15.9,4.6,49,
27,大阪,1021.3,15.9,6.2,46,
28,神戸,1021.2,15.5,7.5,51,
29,豊岡,1020.2,15.8,4.7,51,
30,姫路,1021.1,16.5,4.3,49,
31,洲本,1021.0,16.8,5.9,52,0.0
